variant,effective_rank,er_sd,top5_share,top5_sd,pos_var,neg_var,mean_l2
asae,22.91662787112399,0.550444071090739,35.80389938943775,0.6798470095478077,0.3631068961782626,0.33235306205014353,3.2430494913216195
no_entropy,16.083655729824592,0.2853489594089738,48.0826555017278,0.5958578167645288,0.2570515392422971,0.2412454062844664,2.7474623987664053
encoder_only,13.960843892284146,0.35390133944531,52.69267155548712,0.8849976556138688,0.22371708862957734,0.22187133218124683,2.6224758441142377
