d_z,acc,f1,f1_sd,auc,auc_sd
8,0.9508486082824168,0.4944250892381053,0.018773830225155344,0.8060514836376905,0.008912563241890898
16,0.9553292600135777,0.5607783516473026,0.015694271323174223,0.8376897049310843,0.006440957232428751
32,0.9545145960624575,0.6007979880195325,0.011516156130258689,0.8583644325023636,0.0033668215672812735
48,0.9560081466395112,0.5813917021286331,0.017809627645151146,0.8492204474963095,0.0065315123404960955
64,0.955600814663951,0.5714149400650949,0.01178006110235014,0.8413536016984292,0.006508382632339926
