variant,acc,f1,f1_sd,auc,auc_sd
full,0.9545145960624575,0.6007979880195325,0.011516156130258689,0.8583644325023636,0.0033668215672812735
no_entropy,0.9561439239646979,0.5798589959880283,0.008348421723062537,0.8455598679736612,0.0055068366424600905
no_attention,0.9536999321113374,0.5447530036228391,0.012804379965184567,0.8282670713705196,0.007517461296032918
no_recon,0.9530210454854039,0.538558178539755,0.01018758825403532,0.8253213580799788,0.007435954258067117
no_residual,0.9553292600135779,0.5594928703537976,0.013052395285064328,0.836361148430114,0.006212284151080249
no_dropout,0.951663272233537,0.5175339976888739,0.011647065722406078,0.8151904927766997,0.009490638308781175
encoder_only,0.9526137135098438,0.5289613445083836,0.014205685583446993,0.818796337761855,0.006727105718842027
