split_seed,model,f1,auc,threshold
10,asae,0.6049382716049383,0.8703703703703703,0.429
10,tabnet,0.5194805194805194,0.84012539184953,0.33999999999999997
10,xgboost,0.543046357615894,0.7976149010631769,0.39999999999999997
11,asae,0.6060606060606061,0.8442304821615164,0.422
11,tabnet,0.5100671140939598,0.8241528586356172,0.33299999999999996
11,xgboost,0.4528301886792453,0.8045230631437528,0.456
12,asae,0.5838509316770186,0.8657428140186761,0.415
12,tabnet,0.5064935064935064,0.8184886633162496,0.32599999999999996
12,xgboost,0.5838509316770186,0.8231162196679437,0.449
13,asae,0.6363636363636364,0.8610074472143439,0.408
13,tabnet,0.5614035087719298,0.8056094607818747,0.382
13,xgboost,0.6114649681528662,0.8102867758040172,0.442
14,asae,0.6052631578947368,0.8676585228309367,0.40099999999999997
14,tabnet,0.5324675324675324,0.8301238990894163,0.375
14,xgboost,0.588957055214724,0.8249572904745318,0.435
